ID,Theme,Stage,Quest_ID,Countable,Quest_Script,Queset_Goal
client,client,design,client,client,client,client
int32,int32,int32,int32,int32,string,int32
1,1,1,1,1,잔여 시간,5
2,1,1,2,1,일반 몬스터 처치,5
3,1,1,3,0,목표 지점 이동,0
4,1,2,1,1,잔여 시간,6
5,1,2,2,1,일반 몬스터 처치,7
6,1,2,3,0,목표 지점 이동,0
7,1,3,1,1,잔여 시간,8
8,1,3,2,1,일반 몬스터 처치,5
9,1,3,4,0,보스 몬스터 처치,0
10,2,1,1,1,잔여 시간,10
11,2,1,2,1,일반 몬스터 처치,10
12,2,1,3,0,목표 지점 이동,0
13,2,2,1,1,잔여 시간,12
14,2,2,2,1,일반 몬스터 처치,12
15,2,2,3,0,목표 지점 이동,0
16,2,3,1,1,잔여 시간,15
17,2,3,2,1,일반 몬스터 처치,10
18,2,3,4,0,보스 몬스터 처치,0
19,3,1,1,1,잔여 시간,20
20,3,1,2,1,일반 몬스터 처치,15
21,3,1,3,0,목표 지점 이동,0
22,3,2,1,1,잔여 시간,25
23,3,2,2,1,일반 몬스터 처치,20
24,3,2,3,0,목표 지점 이동,0
25,3,3,1,1,잔여 시간,30
26,3,3,2,1,일반 몬스터 처치,15
27,3,3,4,0,보스 몬스터 처치,0
