ID,Description,Prefab_Name,FieldItem_Group_Name,UseAble_Theme_ID_List
client,design,client,client,client
int32,string,string,string,string
1,Box,,BreakBox,1
2,Rock,,NonBreakBox,1
3,Grass,,Hide,1
4,Goblin_Spawn,,NormalMonster,1
5,Goblin_Boss_Spawn,,BossMonster,1
6,Start_Point,,Start,0
7,Next_Point,,Next,0
8,End_Point,,End,0
9,Character_Spawn,,Character,0
10,Giant_Boss1_Spawn,,GiantBoss1Monster,1
11,Bomb_Item_Spawn,,Bomb,0
12,Speed_Item_Spawn,,Speed,0
13,Fire_Item_Spawn,,Fire,0
14,Kick_Item_Spawn,,Kick,0
15,Throw_Item_Spawn,,Throw,0
16,Bomb_Info_Trigger,,BombInfo,0
17,Speed_Info_Trigger,,SpeedInfo,0
18,Fire_Info_Trigger,,FireInfo,0
19,Kick_Info_Trigger,,KickInfo,0
20,Throw_Info_Trigger,,ThrowInfo,0
21,NonItemBox,,NonItemBox,0
