ID,Description,Stage_Pattern_ID,Spawn_Number,Distance,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,N
client,design,client,client,client,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,N
int32,string,int32,int32,float,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,array<int32>,N
1,snowland-1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N
2,snowland-1,1,2,2,0,4,0,1,0,1,1,1,1,1,0,1,0,4,0,N
3,snowland-1,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N
4,snowland-1,1,4,4,1,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
5,snowland-1,1,5,5,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,N
6,snowland-1,1,6,6,0,4,0,0,0,1,0,1,0,1,0,0,0,4,0,N
7,snowland-1,1,7,7,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,N
8,snowland-1,1,8,8,1,1,1,0,1,1,1,8,1,1,1,0,1,1,1,N
9,snowland-1,1,9,9,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,N
10,snowland-1,1,10,10,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,N
11,snowland-1,1,11,11,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,N
12,snowland-1,1,12,12,0,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
13,snowland-1,1,13,13,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,N
14,snowland-1,1,14,14,0,0,0,1,0,1,1,1,1,1,0,1,0,4,0,N
15,snowland-1,1,15,15,6,0,2,0,0,0,0,1,0,0,0,1,0,0,0,N
16,snowland-2,2,1,1,7,0,0,1,0,0,0,0,0,0,0,1,0,0,7,N
17,snowland-2,2,2,2,0,4,0,1,0,0,0,4,0,0,0,1,0,4,0,N
18,snowland-2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
19,snowland-2,2,4,4,1,1,0,0,0,2,1,1,1,2,0,0,0,1,1,N
20,snowland-2,2,5,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,N
21,snowland-2,2,6,6,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,N
22,snowland-2,2,7,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
23,snowland-2,2,8,8,0,4,0,1,1,1,0,6,0,1,1,1,0,4,0,N
24,snowland-2,2,9,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
25,snowland-2,2,10,10,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,N
26,snowland-2,2,11,11,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,N
27,snowland-2,2,12,12,1,1,0,0,0,2,1,1,1,2,0,0,0,1,1,N
28,snowland-2,2,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
29,snowland-2,2,14,14,0,4,0,1,0,0,0,4,0,0,0,1,0,4,0,N
